epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,,0.5155555555555555,0.5155555555555555,0.5155555555555555,0.5155555555555555
1.0,,0.7244444444444444,0.7244444444444444,0.7244444444444444,0.7244444444444443
2.0,,0.7066666666666667,0.7066666666666667,0.7066666666666667,0.7066666666666667
3.0,,0.6177777777777778,0.6177777777777778,0.6177777777777778,0.6177777777777778
4.0,,0.6088888888888889,0.6088888888888889,0.6088888888888889,0.6088888888888889
5.0,,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7111111111111111
6.0,,0.6977777777777778,0.6977777777777778,0.6977777777777778,0.6977777777777778
7.0,,0.7644444444444445,0.7644444444444445,0.7644444444444445,0.7644444444444445
8.0,,0.7688888888888888,0.7688888888888888,0.7688888888888888,0.7688888888888887
9.0,,0.6755555555555556,0.6755555555555556,0.6755555555555556,0.6755555555555556
10.0,,0.72,0.72,0.72,0.72
11.0,,0.7244444444444444,0.7244444444444444,0.7244444444444444,0.7244444444444443
12.0,,0.7288888888888889,0.7288888888888889,0.7288888888888889,0.7288888888888889
13.0,,0.8,0.8,0.8,0.8000000000000002
14.0,,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
15.0,,0.8044444444444444,0.8044444444444444,0.8044444444444444,0.8044444444444445
16.0,,0.72,0.72,0.72,0.72
17.0,,0.7288888888888889,0.7288888888888889,0.7288888888888889,0.7288888888888889
18.0,,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.7866666666666666
19.0,,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
20.0,,0.76,0.76,0.76,0.76
21.0,,0.76,0.76,0.76,0.76
22.0,,0.8044444444444444,0.8044444444444444,0.8044444444444444,0.8044444444444445
23.0,,0.7911111111111111,0.7911111111111111,0.7911111111111111,0.7911111111111111
24.0,,0.7822222222222223,0.7822222222222223,0.7822222222222223,0.7822222222222223
25.0,,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.7866666666666666
26.0,,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.8222222222222222
27.0,,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
28.0,,0.8,0.8,0.8,0.8000000000000002
29.0,,0.8044444444444444,0.8044444444444444,0.8044444444444444,0.8044444444444445
30.0,,0.8088888888888889,0.8088888888888889,0.8088888888888889,0.8088888888888889
